original,normal_english,mapping
"the very republic is threatened, if involved the sith are.","if the sith are involved, the very republic is threatened.","[5, 7, 8, 9, 6, 0, 1, 2, 3, 4]"
"hard to see, the dark side is.",The dark side is hard to see.,"[3, 4, 5, 6, 0, 1, 2]"
"discover who this assassin is, we must.",We must discover who this assassin is.,"[5, 6, 0, 1, 2, 3, 4]"
"with this naboo queen you must stay, qui-gon.","Qui-gon, you must stay with this naboo queen.","[7, 4, 5, 6, 0, 1, 2, 3]"
protect her.,Protect her.,"[0, 1]"
may the force be with you.,May the force be with you.,"[0, 1, 2, 3, 4, 5]"
(cont'd) master qui-gon more to say have you?,"You have more to say, master Qui-Gon (cont'd)?","[7, 6, 3, 4, 5, 1, 2, 0]"
"a vergence, you say?",You say a vergence?,"[2, 3, 0, 1]"
but you do!,You do but!,"[1, 2, 0]"
rrevealed your opinion is.,Your opinion is rrevealed.,"[1, 2, 3, 0]"
"trained as a jedi, you request for him?",You request for him trained as a jedi?,"[4, 5, 6, 7, 0, 1, 2, 3]"
tested he will be.,He will be tested.,"[1, 2, 3, 0]"
"good, good, young one.","Young one, good, good.","[2, 3, 0, 1]"
how feel you?,You feel how?,"[2, 1, 0]"
afraid are you?,Are you afraid?,"[1, 2, 0]"
"see through you, we can.",We can see through you.,"[3, 4, 0, 1, 2]"
afraid to lose her..,afraid to lose her..,"[0, 1, 2, 3]"
i think.,I think.,"[0, 1]"
fear is the path to the dark side... fear leads to anger...,Fear is the path to the dark side... Fear leads to anger...,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
anger leads to hate.. hate leads to suffering.,hate.. leads to anger suffering. leads to hate,"[3, 1, 2, 0, 7, 5, 6, 4]"
"a jedi must have the deepest commitment, the most serious mind.","A jedi must have the deepest commitment, the most serious mind.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
i sense much fear in you.,I sense much fear in you.,"[0, 1, 2, 3, 4, 5]"
"then continue, we will.","We will continue, then.","[2, 3, 1, 0]"
"...correct you were, qui-gon.","You were correct, Qui-Gon.","[1, 2, 0, 3]"
"clouded, this boy's future is.",This boy's future is clouded.,"[1, 2, 3, 4, 0]"
masked by his youth.,His youth masked by.,"[2, 3, 0, 1]"
"an apprentice, you have, qui-gon.","You have an apprentice, qui-gon.","[2, 3, 0, 1, 4]"
"impossible, to take on a second.","To take on a second impossible,","[1, 2, 3, 4, 5, 0]"
"ready so early, are you?",Are you ready so early?,"[3, 4, 0, 1, 2]"
what know you of ready?,What you know of ready?,"[0, 2, 1, 3, 4]"
our own council we will keep on who is ready.,We will keep our own council on who is ready.,"[3, 4, 5, 0, 1, 2, 6, 7, 8, 9]"
