original,normal_english,mapping
"The very Republic is threatened, if involved the Sith are.","The Republic is very threatened, if the Sith are involved.","[0, 2, 3, 1, 4, 5, 7, 8, 9, 6]"
"Hard to see, the dark side is. Discover who this assassin is, we must.",The dark side is hard to see. We must discover who this assassin is.,"[3, 4, 5, 6, 0, 1, 2, 12, 13, 7, 8, 9, 10, 11]"
"With this Naboo queen you must stay, Qui-Gon. Protect her.","Qui-Gon, you must stay with this Naboo queen. Protect her.","[7, 4, 5, 6, 0, 1, 2, 3, 8, 9]"
May the Force be with you.,May the Force be with you.,"[0, 1, 2, 3, 4, 5]"
(Cont'd) Master Qui-Gon more to say have you?,"You have more to say, Master Qui-Gon (Cont'd)?","[7, 6, 3, 4, 5, 1, 2, 0]"
"A vergence, you say?",You say a vergence?,"[2, 3, 0, 1]"
But you do! Rrevealed your opinion is.,But you do! Your opinion is Rrevealed.,"[0, 1, 2, 4, 5, 6, 3]"
"Trained as a Jedi, you request for him?","You, trained as a Jedi, request for him?","[4, 0, 1, 2, 3, 5, 6, 7]"
Tested he will be.,He will be tested.,"[1, 2, 3, 0]"
"Good, good, young one. How feel you?","Good, good, young one. How you feel?","[0, 1, 2, 3, 4, 6, 5]"
Afraid are you?,Are you afraid?,"[1, 2, 0]"
"See through you, we can.",We can see through you.,"[3, 4, 0, 1, 2]"
Afraid to lose her..I think.,I think afraid to lose her.,"[4, 5, 0, 1, 2, 3]"
Eveything. Fear is the path to the dark side... fear leads to anger... anger leads to hate.. hate leads to suffering.,Eveything. Fear is the path to the dark side... Fear leads to anger... Anger leads to hate.. Hate leads to suffering.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
"A Jedi must have the deepest commitment, the most serious mind. I sense much fear in you.","A Jedi must have the most serious commitment, the deepest mind. I sense much fear in you.","[0, 1, 2, 3, 7, 8, 9, 6, 4, 5, 10, 11, 12, 13, 14, 15, 16]"
"Then continue, we will.",We will continue then.,"[2, 3, 1, 0]"
"...Correct you were, Qui-Gon.","You were correct, Qui-Gon.","[1, 2, 0, 3]"
"Clouded, this boy's future is. Masked by his youth.","This boy's future is clouded, masked by his youth.","[1, 2, 3, 4, 0, 5, 6, 7, 8]"
"An apprentice, you have, Qui-Gon. Impossible, to take on a second.","You have an apprentice, Qui-Gon. To take on a second, impossible.","[2, 3, 0, 1, 4, 6, 7, 8, 9, 10, 5]"
"Ready so early, are you? What know you of ready?",Are you ready so early? What you know of ready?,"[3, 4, 0, 1, 2, 5, 7, 6, 8, 9]"
