original,normal_english,mapping,normal_word_order,yoda_word_order
"the very republic is threatened, if involved the sith are.","if the sith are involved, the very republic is threatened.","[5, 7, 8, 9, 6, 0, 1, 2, 3, 4]",SSV (Incomplete),SS (Incomplete)
"hard to see, the dark side is.",The dark side is hard to see.,"[3, 4, 5, 6, 0, 1, 2]",SV (Incomplete),SV (Incomplete)
"discover who this assassin is, we must.",We must discover who this assassin is.,"[5, 6, 0, 1, 2, 3, 4]",SVOS,VOSS
"with this naboo queen you must stay, qui-gon.","Qui-gon, you must stay with this naboo queen.","[7, 4, 5, 6, 0, 1, 2, 3]",SVO,SV (Incomplete)
protect her.,Protect her.,"[0, 1]",VO (Incomplete),VO (Incomplete)
may the force be with you.,May the force be with you.,"[0, 1, 2, 3, 4, 5]",SVO,SVO
(cont'd) master qui-gon more to say have you?,"You have more to say, master Qui-Gon (cont'd)?","[7, 6, 3, 4, 5, 1, 2, 0]",SVOO,OVS
"a vergence, you say?",You say a vergence?,"[2, 3, 0, 1]",SVO,OSV
but you do!,You do but!,"[1, 2, 0]",SV (Incomplete),SV (Incomplete)
rrevealed your opinion is.,Your opinion is rrevealed.,"[1, 2, 3, 0]",SV (Incomplete),VS (Incomplete)
"trained as a jedi, you request for him?",You request for him trained as a jedi?,"[4, 5, 6, 7, 0, 1, 2, 3]",SVOO,OSVO
tested he will be.,He will be tested.,"[1, 2, 3, 0]",SV (Incomplete),VS (Incomplete)
"good, good, young one.","Young one, good, good.","[2, 3, 0, 1]",V (Incomplete),V (Incomplete)
how feel you?,You feel how?,"[2, 1, 0]",SV (Incomplete),VS (Incomplete)
afraid are you?,Are you afraid?,"[1, 2, 0]",VS (Incomplete),VS (Incomplete)
"see through you, we can.",We can see through you.,"[3, 4, 0, 1, 2]",SVO,VOS
afraid to lose her..,afraid to lose her..,"[0, 1, 2, 3]",VO (Incomplete),VO (Incomplete)
i think.,I think.,"[0, 1]",SV (Incomplete),SV (Incomplete)
fear is the path to the dark side... fear leads to anger...,Fear is the path to the dark side... Fear leads to anger...,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",SVOOSVO,SVOOSV
anger leads to hate.. hate leads to suffering.,hate.. leads to anger suffering. leads to hate,"[3, 1, 2, 0, 7, 5, 6, 4]",SVOV,VSVO
"a jedi must have the deepest commitment, the most serious mind.","A jedi must have the deepest commitment, the most serious mind.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",SVO,SVO
i sense much fear in you.,I sense much fear in you.,"[0, 1, 2, 3, 4, 5]",SVOO,SVOO
"then continue, we will.","We will continue, then.","[2, 3, 1, 0]",SV (Incomplete),VS (Incomplete)
"...correct you were, qui-gon.","You were correct, Qui-Gon.","[1, 2, 0, 3]",SV (Incomplete),SV (Incomplete)
"clouded, this boy's future is.",This boy's future is clouded.,"[1, 2, 3, 4, 0]",SV (Incomplete),VS (Incomplete)
masked by his youth.,His youth masked by.,"[2, 3, 0, 1]",V (Incomplete),V (Incomplete)
"an apprentice, you have, qui-gon.","You have an apprentice, qui-gon.","[2, 3, 0, 1, 4]",SVO,OSV
"impossible, to take on a second.","To take on a second impossible,","[1, 2, 3, 4, 5, 0]",VO (Incomplete),OV (Incomplete)
"ready so early, are you?",Are you ready so early?,"[3, 4, 0, 1, 2]",VS (Incomplete),VS (Incomplete)
what know you of ready?,What you know of ready?,"[0, 2, 1, 3, 4]",OSV,OVS
our own council we will keep on who is ready.,We will keep our own council on who is ready.,"[3, 4, 5, 0, 1, 2, 6, 7, 8, 9]",SVOS,OSVS
"more to learn, he has...","He has... more to learn,","[3, 4, 0, 1, 2]",SV (Incomplete),SV (Incomplete)
and draw out the queen's attacker.,And draw the queen's attacker out.,"[0, 1, 3, 4, 5, 2]",VO (Incomplete),VO (Incomplete)
young skywalker's fate will be decided later.,skywalker's young fate will be decided later.,"[1, 0, 2, 3, 4, 5, 6]",SV (Incomplete),SV (Incomplete)
train him not.,Not train him.,"[2, 0, 1]",VO (Incomplete),VO (Incomplete)
"take him with you, but train him not!","Take him with you, but not! train him","[0, 1, 2, 3, 4, 7, 5, 6]",VOOVO (Incomplete),VOO (Incomplete)
"confer on you, the level of jedi knight the coucil does.","The coucil does confer on you, the level of jedi knight.","[8, 9, 10, 0, 1, 2, 3, 4, 5, 6, 7]",SVOO,VOS
"but agree on you taking this boy as your padawan learner, i do not.","But I do not agree on you taking this boy as your padawan learner,","[0, 11, 12, 13, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",SVSOO,VSOOS
"the chosen one the boy may be; nevertheless, grave danger i fear in his training.","i fear grave danger in his training. nevertheless, the boy may be; the chosen one","[10, 11, 8, 9, 12, 13, 14, 7, 3, 4, 5, 6, 0, 1, 2]",SVOOSV,SOSVO
qui-gon's defiance i sense in you.,I sense qui-gon's defiance in you.,"[2, 3, 0, 1, 4, 5]",SVOO,SV (Incomplete)
"need that, you do not.",You do not need that.,"[2, 3, 4, 0, 1]",SVO,VOS
"agree, the council does.",The council does agree.,"[1, 2, 3, 0]",SV (Incomplete),VS (Incomplete)
